Date,Holiday,Tag
2021-01-01,元旦,休假
2021-01-02,十九,休假
2021-01-03,二十,休假
2021-02-07,廿六,补班
2021-02-11,除夕,休假
2021-02-12,春节,休假
2021-02-13,初二,休假
2021-02-14,情人节,休假
2021-02-15,初四,休假
2021-02-16,初五,休假
2021-02-17,初六,休假
2021-02-20,初九,补班
2021-04-03,廿二,休假
2021-04-04,清明,休假
2021-04-05,廿四,休假
2021-04-25,十四,补班
2021-05-01,劳动节,休假
2021-05-02,廿一,休假
2021-05-03,廿二,休假
2021-05-04,青年节,休假
2021-05-05,立夏,休假
2021-05-08,廿七,补班
2021-06-12,初三,休假
2021-06-13,初四,休假
2021-06-14,端午节,休假
2021-09-18,国耻日,补班
2021-09-19,十三,休假
2021-09-20,十四,休假
2021-09-21,中秋节,休假
2021-09-26,二十,补班
2021-10-01,国庆节,休假
2021-10-02,廿六,休假
2021-10-03,廿七,休假
2021-10-04,廿八,休假
2021-10-05,廿九,休假
2021-10-06,九月,休假
2021-10-07,初二,休假
2021-10-09,初四,补班
